IconKeyValue,Keywords
ic_fluent_star_three_quarter_12_filled,
ic_fluent_weather_rain_showers_night_20_filled,rain:0.7632 raining:0.1923 night:0.1767 storm:0.1764 climate:0.1514 rainy:0.1309 moon:0.1140 nature:0.1098
ic_fluent_weather_snow_shower_day_48_filled,rain:0.2088 snowing:0.1429 snow:0.1358 seasons:0.1336 forecast:0.1180 sky:0.1022
ic_fluent_tab_16_filled,box:0.1033
ic_fluent_weather_hail_day_24_filled,rain:0.2939 snow:0.2066 snowing:0.1633 night:0.1135
ic_fluent_text_field_24_filled,battery:0.1578
ic_fluent_window_shield_20_regular,browser:0.3734 web-page:0.2625
ic_fluent_headset_24_regular,
ic_fluent_tab_arrow_left_24_filled,window:0.2302
ic_fluent_shifts_availability_24_regular,easter-egg:0.1238
ic_fluent_calendar_3_day_20_filled,pause:0.6391 stop:0.1122
ic_fluent_desktop_arrow_right_24_filled,monitor:0.3438 digital:0.1287 camera:0.1198
ic_fluent_call_end_28_filled,goggles:0.3435 sunglasses:0.1432 vr:0.1370 virtual-reality:0.1119 headset:0.1018
ic_fluent_headset_vr_24_regular,
ic_fluent_rectangle_landscape_20_filled,
ic_fluent_share_screen_stop_20_filled,
ic_fluent_animal_turtle_16_filled,helmet:0.1431
ic_fluent_likert_24_filled,server:0.1909 equipment:0.1143
ic_fluent_text_position_through_20_regular,
ic_fluent_resize_video_24_regular,chip:0.2020 memory:0.1599 sim-card:0.1268 sim:0.1062
ic_fluent_tag_question_mark_16_regular,socks:0.1746
ic_fluent_star_off_20_regular,nature:0.3284 plant:0.1533 bird:0.1100
ic_fluent_convert_to_table_24_regular,full-screen:0.1316 maximize:0.1288 fullscreen:0.1277
ic_fluent_resize_20_filled,scale:0.4555 border:0.1531 sketchy-arrows:0.1374 hand-drawn-arrows:0.1333 expand:0.1104
ic_fluent_caret_right_20_regular,
ic_fluent_weather_fog_24_regular,cloud:0.4616 fog:0.2751 sky:0.1290
ic_fluent_text_align_left_20_filled,alignment:0.2089 paragraph:0.1854 left-align:0.1802 align:0.1287 menu:0.1228
ic_fluent_call_park_28_regular,customer-support:0.1623 call:0.1534 calling:0.1232
ic_fluent_arrow_hook_up_right_20_filled,arrow:0.9886 way:0.8885 archery:0.3183 next:0.2073 swirl:0.1813 bend:0.1751 turn:0.1554 zigzag:0.1025
ic_fluent_glasses_20_filled,glasses:0.2872 vr:0.2515 goggles:0.2350 virtual-reality:0.1330 headset:0.1138
ic_fluent_image_search_24_regular,
